epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
81,4952.33,0.73666,0.72219,1.21367,0.83192,0.8112,0.81723,0.65428,0.8453,0.73178,1.19626,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
82,5002.51,0.73349,0.71664,1.21381,0.82751,0.80255,0.81619,0.65336,0.8484,0.7361,1.20412,0.0005943,0.0001981,0.0005943,0.0001981,0.0005943,0.0001981,0.0005943,0.0001981
83,5053.5,0.72559,0.71048,1.20684,0.83391,0.80905,0.81608,0.65368,0.84582,0.73887,1.19561,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882
84,5103.64,0.72657,0.7111,1.20899,0.83882,0.80501,0.81983,0.65432,0.84573,0.72836,1.19801,0.0005349,0.0001783,0.0005349,0.0001783,0.0005349,0.0001783,0.0005349,0.0001783
85,5154.3,0.72995,0.71155,1.21485,0.83254,0.80923,0.819,0.65544,0.8447,0.73292,1.19884,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
86,5204.41,0.72568,0.70025,1.20691,0.82364,0.81651,0.81516,0.65243,0.84285,0.73552,1.19643,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585
87,5254.74,0.7222,0.69658,1.20702,0.83342,0.8039,0.81487,0.65231,0.84651,0.73901,1.20497,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486
88,5368.72,0.72737,0.69264,1.20804,0.83574,0.8064,0.81644,0.65408,0.84746,0.74281,1.20748,0.0004161,0.0001387,0.0004161,0.0001387,0.0004161,0.0001387,0.0004161,0.0001387
89,5419.12,0.71475,0.68983,1.19483,0.83967,0.79825,0.81818,0.65431,0.84637,0.73282,1.2052,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
90,5471.69,0.71756,0.69218,1.20152,0.8143,0.82572,0.81607,0.65374,0.84631,0.73752,1.20504,0.0003567,0.0001189,0.0003567,0.0001189,0.0003567,0.0001189,0.0003567,0.0001189
91,5546.84,0.73771,0.60499,1.23647,0.79803,0.83882,0.81496,0.64721,0.85005,0.74396,1.20683,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
92,5594.87,0.7102,0.54662,1.2089,0.79399,0.85277,0.81157,0.64444,0.85226,0.74936,1.20536,0.0002973,9.91e-05,0.0002973,9.91e-05,0.0002973,9.91e-05,0.0002973,9.91e-05
93,5655.86,0.70304,0.52908,1.20302,0.79648,0.85277,0.81447,0.64454,0.84843,0.74437,1.20072,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
94,5702.78,0.69281,0.51564,1.19928,0.79728,0.84605,0.81386,0.64757,0.84869,0.73921,1.20572,0.0002379,7.93e-05,0.0002379,7.93e-05,0.0002379,7.93e-05,0.0002379,7.93e-05
95,5750.03,0.68472,0.51025,1.19391,0.79596,0.84544,0.81416,0.64689,0.84848,0.73992,1.20805,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05
96,5796.79,0.68358,0.50776,1.18945,0.79784,0.84569,0.81427,0.64776,0.84674,0.73513,1.20727,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05
97,5843.68,0.68132,0.50075,1.18882,0.79965,0.8399,0.81483,0.64814,0.84342,0.73244,1.20367,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05
98,5890.77,0.67674,0.49561,1.1891,0.80216,0.83731,0.81517,0.64992,0.84231,0.73353,1.20253,0.0001191,3.97e-05,0.0001191,3.97e-05,0.0001191,3.97e-05,0.0001191,3.97e-05
99,5937.91,0.66804,0.49122,1.1777,0.8013,0.83385,0.81574,0.65096,0.84311,0.72978,1.20512,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05
100,5985.83,0.67155,0.4882,1.17982,0.83419,0.79873,0.8155,0.65156,0.84278,0.72937,1.20535,5.97e-05,1.99e-05,5.97e-05,1.99e-05,5.97e-05,1.99e-05,5.97e-05,1.99e-05
