epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,585.407,1.48463,3.49661,1.92647,1.48542,0,0.55424,0.4127,0.42653,0.26741,0.54576,0.41698,0.42229,0.23427,1.31921,2.55294,1.58469,1.31147,0,0.00156612,0.000522039,0.00156612,0.000522039,0.00156612,0.000522039,0.00156612,0.000522039
45,599.753,1.48236,3.46973,1.91309,1.4917,0,0.54983,0.41285,0.4251,0.27083,0.55229,0.41449,0.42208,0.23543,1.32243,2.56826,1.5886,1.31451,0,0.00153912,0.00051304,0.00153912,0.00051304,0.00153912,0.00051304,0.00153912,0.00051304
46,608.887,1.4546,3.41481,1.88928,1.46793,0,0.55065,0.43388,0.42589,0.26887,0.55125,0.42862,0.42281,0.23565,1.32175,2.57637,1.59818,1.31511,0,0.00151212,0.00050404,0.00151212,0.00050404,0.00151212,0.00050404,0.00151212,0.00050404
47,617.78,1.45543,3.4022,1.87259,1.47006,0,0.48566,0.45252,0.42465,0.26849,0.47755,0.44318,0.42085,0.23339,1.32635,2.58732,1.58972,1.31753,0,0.00148512,0.000495041,0.00148512,0.000495041,0.00148512,0.000495041,0.00148512,0.000495041
48,626.911,1.45894,3.42749,1.89424,1.4779,0,0.47848,0.46973,0.43183,0.27135,0.49021,0.45768,0.42372,0.23354,1.32643,2.57862,1.59719,1.317,0,0.00145813,0.000486042,0.00145813,0.000486042,0.00145813,0.000486042,0.00145813,0.000486042
49,635.914,1.47302,3.42939,1.8747,1.48021,0,0.46258,0.47728,0.43003,0.27385,0.47044,0.46525,0.42516,0.24119,1.31871,2.57688,1.57761,1.31636,0,0.00143113,0.000477043,0.00143113,0.000477043,0.00143113,0.000477043,0.00143113,0.000477043
50,645.377,1.44998,3.38821,1.84469,1.46057,0,0.46302,0.48842,0.42849,0.27477,0.46831,0.47994,0.42928,0.23954,1.31163,2.56813,1.5753,1.31431,0,0.00140413,0.000468044,0.00140413,0.000468044,0.00140413,0.000468044,0.00140413,0.000468044
51,654.277,1.44703,3.40692,1.85473,1.46184,0,0.46218,0.48994,0.42876,0.27056,0.4686,0.48896,0.42966,0.23567,1.31316,2.54922,1.58705,1.31116,0,0.00137713,0.000459045,0.00137713,0.000459045,0.00137713,0.000459045,0.00137713,0.000459045
52,663.411,1.46344,3.41153,1.87875,1.4772,0,0.49068,0.45112,0.43047,0.26941,0.48628,0.44665,0.42446,0.23186,1.31109,2.56281,1.57856,1.30745,0,0.00135014,0.000450046,0.00135014,0.000450046,0.00135014,0.000450046,0.00135014,0.000450046
53,672.437,1.46971,3.48761,1.88478,1.47427,0,0.48542,0.45226,0.4305,0.27113,0.48463,0.4469,0.42756,0.23289,1.30741,2.57764,1.56673,1.30182,0,0.00132314,0.000441047,0.00132314,0.000441047,0.00132314,0.000441047,0.00132314,0.000441047
54,681.558,1.43506,3.41108,1.84385,1.45017,0,0.43415,0.47965,0.42996,0.27573,0.44068,0.46343,0.42948,0.23645,1.29817,2.57936,1.55769,1.29159,0,0.00129614,0.000432048,0.00129614,0.000432048,0.00129614,0.000432048,0.00129614,0.000432048
55,691.975,1.44378,3.37676,1.84374,1.44288,0,0.43152,0.46619,0.42889,0.27371,0.44292,0.43305,0.42159,0.2329,1.29437,2.57545,1.54297,1.29357,0,0.00126915,0.000423049,0.00126915,0.000423049,0.00126915,0.000423049,0.00126915,0.000423049
56,701.121,1.42137,3.34708,1.81796,1.43959,0,0.43565,0.45308,0.42549,0.27,0.44295,0.44084,0.41841,0.23226,1.30011,2.55408,1.55177,1.292,0,0.00124215,0.000414049,0.00124215,0.000414049,0.00124215,0.000414049,0.00124215,0.000414049
57,709.956,1.44477,3.43268,1.84181,1.46286,0,0.47261,0.42871,0.42761,0.27042,0.47865,0.42768,0.42396,0.23393,1.29346,2.57256,1.54243,1.28462,0,0.00121515,0.00040505,0.00121515,0.00040505,0.00121515,0.00040505,0.00121515,0.00040505
58,719.1,1.42586,3.36114,1.80975,1.44377,0,0.49227,0.43741,0.43549,0.27394,0.50083,0.43288,0.43055,0.23449,1.30976,2.58272,1.53495,1.29641,0,0.00118815,0.000396051,0.00118815,0.000396051,0.00118815,0.000396051,0.00118815,0.000396051
